Source,Target,Type,Id,Label,timeset,Weight
0,1,Undirected,0,,,1
0,2,Undirected,1,,,1
0,3,Undirected,2,,,1
0,4,Undirected,3,,,1
0,5,Undirected,4,,,1
0,6,Undirected,5,,,1
0,7,Undirected,6,,,1
0,8,Undirected,7,,,1
0,9,Undirected,8,,,1
0,10,Undirected,9,,,1
0,11,Undirected,10,,,1
0,12,Undirected,11,,,1
0,13,Undirected,12,,,1
0,14,Undirected,13,,,1
0,15,Undirected,14,,,1
0,16,Undirected,15,,,1
0,17,Undirected,16,,,1
0,18,Undirected,17,,,1
0,19,Undirected,18,,,1
0,20,Undirected,19,,,1
0,21,Undirected,20,,,1
0,22,Undirected,21,,,1
0,23,Undirected,22,,,1
0,24,Undirected,23,,,1
0,25,Undirected,24,,,1
0,26,Undirected,25,,,1
0,27,Undirected,26,,,1
0,28,Undirected,27,,,1
0,29,Undirected,28,,,1
0,30,Undirected,29,,,1
0,31,Undirected,30,,,1
0,32,Undirected,31,,,1
0,33,Undirected,32,,,1
0,34,Undirected,33,,,1
0,35,Undirected,34,,,1
0,36,Undirected,35,,,1
0,37,Undirected,36,,,1
0,38,Undirected,37,,,1
0,39,Undirected,38,,,1
0,40,Undirected,39,,,1
0,41,Undirected,40,,,1
0,42,Undirected,41,,,1
0,43,Undirected,42,,,1
0,44,Undirected,43,,,1
0,45,Undirected,44,,,1
0,46,Undirected,45,,,1
0,47,Undirected,46,,,1
0,48,Undirected,47,,,1
0,49,Undirected,48,,,1
0,50,Undirected,49,,,1
0,51,Undirected,50,,,1
0,52,Undirected,51,,,1
0,53,Undirected,52,,,1
0,54,Undirected,53,,,1
0,55,Undirected,54,,,1
0,56,Undirected,55,,,1
0,57,Undirected,56,,,1
0,58,Undirected,57,,,1
0,59,Undirected,58,,,1
0,60,Undirected,59,,,1
0,61,Undirected,60,,,1
0,62,Undirected,61,,,1
0,63,Undirected,62,,,1
0,64,Undirected,63,,,1
0,65,Undirected,64,,,1
0,66,Undirected,65,,,1
0,67,Undirected,66,,,1
0,68,Undirected,67,,,1
0,69,Undirected,68,,,1
0,70,Undirected,69,,,1
0,71,Undirected,70,,,1
0,72,Undirected,71,,,1
0,73,Undirected,72,,,1
0,74,Undirected,73,,,1
0,75,Undirected,74,,,1
0,76,Undirected,75,,,1
0,77,Undirected,76,,,1
0,78,Undirected,77,,,1
0,79,Undirected,78,,,1
0,80,Undirected,79,,,1
0,81,Undirected,80,,,1
0,82,Undirected,81,,,1
0,83,Undirected,82,,,1
0,84,Undirected,83,,,1
0,85,Undirected,84,,,1
0,86,Undirected,85,,,1
0,87,Undirected,86,,,1
0,88,Undirected,87,,,1
0,89,Undirected,88,,,1
0,90,Undirected,89,,,1
0,91,Undirected,90,,,1
0,92,Undirected,91,,,1
0,93,Undirected,92,,,1
0,94,Undirected,93,,,1
0,95,Undirected,94,,,1
0,96,Undirected,95,,,1
0,97,Undirected,96,,,1
0,98,Undirected,97,,,1
0,99,Undirected,98,,,1
0,100,Undirected,99,,,1
0,101,Undirected,100,,,1
0,102,Undirected,101,,,1
0,103,Undirected,102,,,1
0,104,Undirected,103,,,1
0,105,Undirected,104,,,1
0,106,Undirected,105,,,1
0,107,Undirected,106,,,1
0,108,Undirected,107,,,1
0,109,Undirected,108,,,1
0,110,Undirected,109,,,1
0,111,Undirected,110,,,1
0,112,Undirected,111,,,1
0,113,Undirected,112,,,1
0,114,Undirected,113,,,1
0,115,Undirected,114,,,1
0,116,Undirected,115,,,1
0,117,Undirected,116,,,1
0,118,Undirected,117,,,1
0,119,Undirected,118,,,1
0,120,Undirected,119,,,1
0,121,Undirected,120,,,1
0,122,Undirected,121,,,1
0,123,Undirected,122,,,1
0,124,Undirected,123,,,1
0,125,Undirected,124,,,1
0,126,Undirected,125,,,1
0,127,Undirected,126,,,1
0,128,Undirected,127,,,1
0,129,Undirected,128,,,1
0,130,Undirected,129,,,1
0,131,Undirected,130,,,1
0,132,Undirected,131,,,1
0,133,Undirected,132,,,1
0,134,Undirected,133,,,1
0,135,Undirected,134,,,1
0,136,Undirected,135,,,1
0,137,Undirected,136,,,1
0,138,Undirected,137,,,1
0,139,Undirected,138,,,1
0,140,Undirected,139,,,1
0,141,Undirected,140,,,1
0,142,Undirected,141,,,1
0,143,Undirected,142,,,1
0,144,Undirected,143,,,1
0,145,Undirected,144,,,1
0,146,Undirected,145,,,1
0,147,Undirected,146,,,1
0,148,Undirected,147,,,1
0,149,Undirected,148,,,1
0,150,Undirected,149,,,1
0,151,Undirected,150,,,1
0,152,Undirected,151,,,1
0,153,Undirected,152,,,1
0,154,Undirected,153,,,1
0,155,Undirected,154,,,1
0,156,Undirected,155,,,1
0,157,Undirected,156,,,1
0,158,Undirected,157,,,1
0,159,Undirected,158,,,1
0,160,Undirected,159,,,1
0,161,Undirected,160,,,1
0,162,Undirected,161,,,1
0,163,Undirected,162,,,1
0,164,Undirected,163,,,1
0,165,Undirected,164,,,1
0,166,Undirected,165,,,1
0,167,Undirected,166,,,1
0,168,Undirected,167,,,1
0,169,Undirected,168,,,1
0,170,Undirected,169,,,1
0,171,Undirected,170,,,1
0,172,Undirected,171,,,1
